FID,objectid,mp_id,name,adresse,anz_stellpl_cs,anz_stellpl_taxi,anzahl_ladepunkte_ac,anzahl_ladepunkte_dc,gaf_ts_vorhanden,gaf_bs_vorhanden,gaf_ls_vorhanden,gaf_ms_vorhanden,ods_vorhanden,bus_vorhanden,tram_vorhanden,u_bahn_vorhanden,s_bahn_vorhanden,radservicestation_vorhanden,radpumpe_vorhanden,bearbeitung_datum,shape
ruhver_mp_standort_point.21,82,501,Mariahilfplatz,Mariahilfplatz 28,5,Nein,0,0,Ja,Ja,Ja,Ja,Nein,Ja,Nein,Nein,Nein,Nein,Nein,20260219,POINT (692176.6559008496 5333519.345897934)
ruhver_mp_standort_point.22,45,31,Freimann,Zinnienstraße 21,2,Nein,0,0,Ja,Ja,Nein,Ja,Nein,Ja,Nein,Ja,Nein,Nein,Nein,20260219,POINT (694312.6230008957 5340805.351097773)
ruhver_mp_standort_point.23,65,1805,Wettersteinplatz,Wettersteinplatz 1,5,Nein,0,0,Ja,Ja,Ja,Ja,Nein,Ja,Nein,Ja,Nein,Nein,Nein,20260303,POINT (691677.7385008394 5331628.286797973)
ruhver_mp_standort_point.24,72,1302,Richard-Strauss-Straße,Richard-Strauss-Straße,5,Nein,0,0,Ja,Ja,Nein,Ja,Nein,Ja,Nein,Ja,Nein,Nein,Nein,20260219,POINT (694605.0256009041 5336124.920297763)
ruhver_mp_standort_point.25,87,506,Ostbahnhof/Belfortstraße,Belfortstraße 2,6,Nein,0,0,Ja,Ja,Ja,Ja,Nein,Ja,Nein,Ja,Ja,Nein,Nein,20260219,POINT (693719.2190008839 5333910.10299783)
ruhver_mp_standort_point.26,47,45,"Perlach Bahnhof
",Schneckestraße 13,2,Nein,0,0,Ja,Ja,Ja,Ja,Nein,Ja,Nein,Nein,Ja,Nein,Nein,20260219,POINT (695860.2585009352 5330117.681897686)
ruhver_mp_standort_point.27,14,23,"Westend
",Westendstraße 139 - 141,4,Nein,0,0,Ja,Ja,Nein,Ja,Nein,Nein,Nein,Nein,Nein,Nein,Nein,20260219,POINT (688310.1790007675 5334716.677798171)
ruhver_mp_standort_point.28,53,54,Dreimühlenstraße,Isartalstraße/Dreimühlenstraße,5,Nein,0,0,Ja,Ja,Ja,Ja,Nein,Nein,Nein,Nein,Nein,Nein,Nein,20260219,POINT (690706.5264008181 5333099.878398031)
ruhver_mp_standort_point.29,28,29,"Troppauer Straße
",Troppauerstraße 1,3,Nein,0,0,Ja,Ja,Ja,Ja,Nein,Ja,Nein,Ja,Nein,Nein,Nein,20260219,POINT (691149.4919008258 5341195.488097987)
ruhver_mp_standort_point.30,50,13,"Schlotthauerstraße
",Schlotthauerstraße 3,8,Nein,0,0,Ja,Ja,Nein,Ja,Nein,Nein,Nein,Nein,Nein,Nein,Nein,20260219,POINT (691665.3347008384 5333200.996897969)
